state,JAVA,C/C++ engineer,Javascript,Python,PHP,C#/Net,Ruby,Object-C,Perl,R language
Alabama,248,206,162,100,46,229,481,51,51,9
Alaska,5,7,5,9,4,76,1,0,9,3
Arizona,832,349,551,312,217,410,438,147,228,31
Arkansas,100,25,62,25,17,163,213,6,17,5
California,11970,8217,8336,9216,2814,3013,4263,2028,3893,601
Colorado,1284,683,891,552,290,535,685,253,355,38
Connecticut,511,173,360,204,119,244,352,118,131,35
Delaware,250,40,134,48,30,96,104,34,67,6
District of Columbia,1006,1793,834,338,244,853,224,352,231,41
Florida,1424,923,1308,376,530,1041,2044,327,304,148
Georgia,1417,439,1008,461,259,714,1109,151,280,73
Hawaii,26,26,124,6,8,45,0,14,5,3
Idaho,53,70,40,47,27,94,27,15,38,7
Illinois,2316,1117,2115,1304,530,1548,1186,508,557,134
Indiana,389,220,378,91,151,289,411,68,63,24
Iowa,182,157,165,88,52,248,65,43,32,16
Kansas,227,140,207,93,113,280,63,56,87,18
Kentucky,124,86,104,26,35,221,215,24,20,18
Louisiana,136,83,114,30,43,179,263,22,26,7
Maine,69,21,44,18,23,90,252,11,14,7
Maryland,2904,1443,1566,1206,417,729,901,545,933,65
Massachusetts,2243,1510,1596,1277,479,739,821,564,648,80
Michigan,1294,1204,918,376,293,794,527,234,292,98
Minnesota,991,528,647,320,238,567,299,209,250,36
Mississippi,35,38,31,19,20,115,179,4,15,7
Missouri,604,236,436,182,165,484,535,145,128,89
Montana,28,11,26,20,31,109,3,6,6,19
Nebraska,140,71,110,25,36,191,91,45,24,6
Nevada,123,91,128,40,61,150,113,46,13,34
New Hampshire,224,118,123,59,26,77,177,42,46,13
New Jersey,2043,505,1161,589,250,661,687,290,453,69
New Mexico,59,53,87,66,58,144,143,53,33,14
New York,4026,1476,3134,2925,1008,1406,1602,735,1108,290
North Carolina,1457,591,1068,458,431,817,1291,185,331,70
North Dakota,26,37,33,4,9,129,45,9,3,2
Ohio,1130,495,845,320,571,714,904,180,235,72
Oklahoma,134,163,110,41,39,217,227,47,15,16
Oregon,615,465,433,402,178,320,211,99,197,27
Pennsylvania,1337,623,1239,611,497,978,1005,342,335,82
Rhode Island,165,38,71,36,19,47,84,10,18,9
South Carolina,221,182,170,76,88,197,463,56,33,15
South Dakota,32,14,33,2,13,105,52,8,0,0
Tennessee,426,190,352,100,101,368,743,67,95,38
Texas,3713,1927,3127,1577,1053,2352,2274,873,1025,195
Utah,345,283,377,144,137,248,195,90,93,26
Vermont,59,22,54,18,12,39,27,6,17,3
Virginia,4145,1673,2529,1596,625,1358,1679,573,995,96
Washington,2762,2470,1637,1505,424,1026,794,759,816,118
West Virginia,76,56,35,18,12,92,556,21,25,3
Wisconsin,391,242,400,117,157,515,93,92,69,40
Wyoming,6,11,5,0,11,72,0,1,1,3
Puerto Rico,72,19,86,15,81,22,16,15,4,4
