city,JAVA,C/C++ engineer,Javascript,Python,PHP,C#/Net,Ruby,Object-C,Perl,R language
New York ,4026,1476,3134,2925,1008,1406,1602,735,1108,290
Los Angeles ,1419,975,1403,1096,639,679,609,283,379,99
Chicago ,1870,869,1807,1139,436,1202,715,405,457,114
Houston ,396,228,401,165,116,360,298,111,93,33
Philadelphia ,852,333,814,465,391,503,523,217,232,47
Phoenix ,739,258,488,252,200,243,337,108,183,20
San Antonio ,190,,130,111,48,134,201,40,44,9
San Diego ,802,706,598,509,225,344,279,166,301,42
Dallas ,1687,699,1240,520,347,821,615,351,447,56
San Jose ,4953,3876,2532,4157,813,511,1275,778,2076,129
Jacksonville ,141,79,145,24,32,87,184,34,34,2
Indianapolis ,221,99,201,55,45,124,143,34,32,5
Austin ,1087,713,901,705,245,456,393,287,379,35
San Francisco ,3490,1569,2515,2775,673,459,1368,448,,138
Columbus ,367,92,261,87,89,163,145,46,75,18
Fort Worth ,326,104,260,76,54,198,233,73,83,28
Charlotte ,534,173,387,93,127,277,247,67,86,32
Detroit ,826,834,481,220,153,345,282,127,225,35
El Paso ,6,9,7,,3,12,30,,,9
Memphis ,113,20,77,16,10,59,85,8,27,5
Boston ,3060,1682,2533,1783,777,1199,969,610,720,108
Seattle ,2704,2416,1577,1469,386,842,788,747,799,105
Denver ,911,362,673,374,202,339,452,142,234,20
Baltimore ,1995,1009,1022,859,285,437,480,403,680,37
Washington ,2763,2471,1637,1505,424,1027,794,760,816,118
Milwaukee ,168,114,173,48,57,147,69,40,37,8
Portland ,557,410,361,360,142,196,166,74,180,23
Oklahoma  ,134,163,110,41,39,217,227,47,15,16
Las Vegas ,90,62,99,24,51,77,82,32,7,19
Albuquerque ,39,41,38,34,49,26,67,22,11,10
Tucson ,29,63,28,18,2,27,31,12,16,3
Fresno ,9,3,13,5,7,8,11,,,4
Sacramento ,189,127,176,96,54,107,85,32,99,11
Long Beach ,1449,1022,1500,1110,645,756,615,293,356,99
Kansas  ,227,140,207,93,113,280,63,56,87,18
Mesa ,300,138,239,110,91,119,210,66,68,8
Virginia Beach ,124,45,101,27,41,84,205,50,21,1
Atlanta ,1314,361,945,438,222,542,535,135,262,49
Colorado Springs ,212,156,60,61,34,49,66,59,65,2
Raleigh ,741,320,555,332,166,295,358,96,212,24
Omaha ,121,50,89,23,16,71,49,33,23,4
Miami ,188,58,192,38,144,120,195,26,38,54
Tulsa ,27,35,26,9,8,37,62,12,2,1
Oakland ,4759,2281,3191,3624,913,624,1698,584,1079,179
Cleveland ,257,105,206,75,63,193,167,40,49,30
Minneapolis ,917,432,575,297,136,350,287,192,229,26
Wichita ,3,16,12,1,15,9,1,1,2,3
Arlington ,1393,557,1077,407,312,756,534,299,351,65
New Orleans ,39,26,34,12,13,32,50,8,8,1
Bakersfield ,5,2,3,,1,4,14,,,7
Tampa ,395,136,296,82,82,218,267,69,63,30
Anaheim ,1370,950,1359,819,537,838,543,326,333,86
Honolulu ,25,19,119,5,7,26,,9,4,3
Aurora ,858,348,632,355,193,329,432,139,227,18
Santa Ana ,929,696,907,523,320,591,362,236,221,58
St. Louis ,439,181,311,166,89,251,262,97,103,26
Riverside ,51,34,56,56,15,44,76,5,15,21
Corpus Christi ,1,1,2,,2,4,14,1,,
Pittsburgh ,286,178,224,117,45,166,70,77,59,11
Lexington ,25,17,18,4,1,20,30,1,8,2
Stockton ,7,2,7,1,4,6,34,1,,7
Cincinnati ,282,98,231,55,49,144,161,37,50,8
Anchorage ,4,2,5,7,,6,,,3,1
St. Paul ,934,455,603,297,159,398,290,194,231,27
Toledo ,10,28,17,15,30,26,52,4,14,4
Newark ,4764,1409,3452,3128,967,1343,1361,761,1327,288
Greensboro ,95,67,55,18,91,48,129,11,20,5
Plano ,1683,686,1251,511,352,811,558,348,440,44
Lincoln ,11,19,18,,5,28,17,8,,1
Buffalo ,72,26,31,4,20,31,52,2,13,8
Henderson ,90,62,99,24,51,77,82,32,7,19
Fort Wayne ,47,25,24,7,12,14,19,7,6,3
Jersey  ,4658,1393,3412,3123,968,1308,1278,754,1298,288
Chula Vista ,671,583,479,404,190,283,217,140,245,35
St. Petersburg ,389,133,283,82,71,216,233,69,60,26
Orlando ,240,121,196,47,72,109,171,43,42,10
Norfolk ,155,59,136,32,56,103,269,56,32,2
Laredo ,2,,1,,1,2,14,,,
Chandler ,288,126,225,107,89,114,205,64,66,9
Madison ,110,76,107,48,41,148,14,25,19,14
Lubbock ,2,1,2,,2,4,13,,,2
Durham ,746,321,565,333,167,316,400,96,212,24
Winston-Salem ,28,10,19,2,61,22,99,,6,
Garland ,1644,676,1211,501,341,797,534,340,431,45
Glendale ,732,252,480,247,195,241,294,108,179,20
Baton Rouge ,19,7,25,4,15,22,44,3,4,4
Hialeah ,299,184,287,90,195,199,260,68,78,62
Reno ,20,,12,8,3,15,8,7,5,14
Chesapeake ,126,49,114,29,49,87,240,51,23,1
Scottsdale ,301,138,239,111,92,120,231,65,68,8
Irving ,1847,722,1370,536,359,895,652,378,472,74
North Las Vegas ,90,62,99,24,51,77,82,32,7,19
Fremont ,5853,4256,3033,4698,974,656,1483,903,2264,167
Irvine ,726,612,744,393,248,484,286,204,155,41
San Bernardino ,35,19,36,40,5,25,15,,8,1
Birmingham ,93,23,74,15,14,50,99,13,14,2
Gilbert ,288,125,225,107,89,112,205,64,65,9
Rochester ,84,119,55,29,20,43,20,70,24,2
